Env,Region,DNS Name,TEE
PROD,australiacentral,sharedcau.cau.attest.azure.net,C-ACI
PROD,australiacentral2,sharedcau2.cau2.attest.azure.net,None
PROD,australiaeast,sharedeau.eau.attest.azure.net,C-ACI
PROD,australiasoutheast,sharedsau.sau.attest.azure.net,C-ACI
PROD,austriaeast,sharedate.ate.attest.azure.net,C-ACI
PROD,belgiumcentral,sharedbec.bec.attest.azure.net,C-ACI
PROD,brazilsouth,sharedsbr.sbr.attest.azure.net,C-ACI
PROD,brazilsoutheast,sharedsebr.sebr.attest.azure.net,C-ACI
PROD,canadacentral,sharedcac.cac.attest.azure.net,C-ACI
PROD,canadaeast,sharedcae.cae.attest.azure.net,C-ACI
PROD,centralindia,sharedcin.cin.attest.azure.net,C-ACI
PROD,centralus,sharedcus.cus.attest.azure.net,C-ACI
PROD,centraluseuap,sharedcuse.cuse.attest.azure.net,C-ACI
PROD,chilecentral,sharedclc.clc.attest.azure.net,C-ACI
PROD,denmarkeast,shareddke.dke.attest.azure.net,C-ACI
PROD,eastasia,sharedeasia.easia.attest.azure.net,C-ACI
PROD,eastus,sharedeus.eus.attest.azure.net,C-ACI
PROD,eastus2,sharedeus2.eus2.attest.azure.net,C-ACI
PROD,eastus2euap,sharedeus2e.eus2e.attest.azure.net,C-ACI
PROD,francecentral,sharedfrc.frc.attest.azure.net,C-ACI
PROD,francesouth,sharedfrs.frs.attest.azure.net,C-ACI
PROD,germanynorth,sharedden.den.attest.azure.net,C-ACI
PROD,germanywestcentral,shareddewc.dewc.attest.azure.net,C-ACI
PROD,indiasouthcentral,sharedscin.scin.attest.azure.net,C-ACI
PROD,indonesiacentral,sharedidc.idc.attest.azure.net,C-ACI
PROD,israelcentral,sharedilc.ilc.attest.azure.net,C-ACI
PROD,italynorth,shareditn.itn.attest.azure.net,C-ACI
PROD,japaneast,sharedjpe.jpe.attest.azure.net,C-ACI
PROD,japanwest,sharedjpw.jpw.attest.azure.net,C-ACI
PROD,jioindiacentral,sharedjinc.jinc.attest.azure.net,None
PROD,jioindiawest,sharedjinw.jinw.attest.azure.net,None
PROD,koreacentral,sharedkrc.krc.attest.azure.net,C-ACI
PROD,koreasouth,sharedkrs.krs.attest.azure.net,C-ACI
PROD,malaysiasouth,sharedmys.mys.attest.azure.net,None
PROD,malaysiawest,sharedmyw.myw.attest.azure.net,C-ACI
PROD,mexicocentral,sharedmxc.mxc.attest.azure.net,None
PROD,newzealandnorth,sharednzn.nzn.attest.azure.net,C-ACI
PROD,northcentralus,sharedncus.ncus.attest.azure.net,C-ACI
PROD,northeurope,sharedneu.neu.attest.azure.net,C-ACI
PROD,norwayeast,sharednoe.noe.attest.azure.net,C-ACI
PROD,norwaywest,sharednow.now.attest.azure.net,C-ACI
PROD,polandcentral,sharedplc.plc.attest.azure.net,C-ACI
PROD,southafricanorth,sharedsan.san.attest.azure.net,C-ACI
PROD,southafricawest,sharedsaw.saw.attest.azure.net,C-ACI
PROD,southcentralus,sharedscus.scus.attest.azure.net,C-ACI
PROD,southeastasia,sharedsasia.sasia.attest.azure.net,C-ACI
PROD,southindia,sharedsin.sin.attest.azure.net,C-ACI
PROD,spaincentral,sharedesc.esc.attest.azure.net,None
PROD,swedencentral,sharedsec.sec.attest.azure.net,C-ACI
PROD,swedensouth,sharedses.ses.attest.azure.net,None
PROD,switzerlandnorth,sharedswn.swn.attest.azure.net,C-ACI
PROD,switzerlandwest,sharedsww.sww.attest.azure.net,None
PROD,taiwannorth,sharedtwn.twn.attest.azure.net,C-ACI
PROD,taiwannorthwest,sharedtwnw.twnw.attest.azure.net,None
PROD,uaecentral,shareduaec.uaec.attest.azure.net,None
PROD,uaenorth,shareduaen.uaen.attest.azure.net,C-ACI
PROD,uksouth,shareduks.uks.attest.azure.net,C-ACI
PROD,ukwest,sharedukw.ukw.attest.azure.net,C-ACI
PROD,westcentralus,sharedwcus.wcus.attest.azure.net,None
PROD,westeurope,sharedweu.weu.attest.azure.net,C-ACI
PROD,westindia,sharedwin.win.attest.azure.net,None
PROD,westus,sharedwus.wus.attest.azure.net,C-ACI
PROD,westus2,sharedwus2.wus2.attest.azure.net,C-ACI
PROD,westus3,sharedwus3.wus3.attest.azure.net,C-ACI
