resource_group,aks_cluster_name,location
vn2-aks-australiacentral2,vn2-aks-australiacentral2,australiacentral2
vn2-aks-australiaeast,vn2-aks-australiaeast,australiaeast
vn2-aks-brazilsoutheast,vn2-aks-brazilsoutheast,brazilsoutheast
vn2-aks-centralindia,vn2-aks-centralindia,centralindia
vn2-aks-centraluseuap,vn2-aks-centraluseuap,centraluseuap
vn2-aks-eastasia,vn2-aks-eastasia,eastasia
vn2-aks-eastus,vn2-aks-eastus,eastus
vn2-aks-eastus2euap,vn2-aks-eastus2euap,eastus2euap
vn2-aks-germanywestcentral,vn2-aks-germanywestcentral,germanywestcentral
vn2-aks-indonesiacentral,vn2-aks-indonesiacentral,indonesiacentral
vn2-aks-italynorth,vn2-aks-italynorth,italynorth
vn2-aks-japaneast,vn2-aks-japaneast,japaneast
vn2-aks-northeurope,vn2-aks-northeurope,northeurope
vn2-aks-southcentralus,vn2-aks-southcentralus,southcentralus
vn2-aks-southeastasia,vn2-aks-southeastasia,southeastasia
vn2-aks-swedencentral,vn2-aks-swedencentral,swedencentral
vn2-aks-switzerlandnorth,vn2-aks-switzerlandnorth,switzerlandnorth
vn2-aks-uaenorth,vn2-aks-uaenorth,uaenorth
vn2-aks-uksouth,vn2-aks-uksouth,uksouth
vn2-aks-westeurope,vn2-aks-westeurope,westeurope
vn2-aks-westus,vn2-aks-westus,westus
